;SW:3Q0-907-530-AD   HW:3Q0-907-530-D ---  CAN Gateway
;Component:GW MQB EV     621 6383, Coding:0201001704F81000FB001290081F00000001070100070000000300000000
IDE01996-SFT00061-Installation list: specified installations-Special Function,Not coded ,32
IDE01996-SFT00064-Installation list: specified installations-A/C compressor,Not coded ,32
IDE01996-SFT00066-Installation list: specified installations-Driver's door electronics,coded ,32
IDE01996-SFT00068-Installation list: specified installations-Power steering,coded ,32
IDE01996-SFT00071-Installation list: specified installations-Sound System,Not coded ,32
IDE01996-SFT00075-Installation list: specified installations-Multi-function module,coded ,32
IDE01996-SFT00075-Installation list: specified installations-Multi-function module,coded ,32
IDE01996-SFT00081-Installation list: specified installations-Electric drive,coded ,32
IDE01996-SFT00082-Installation list: specified installations-Passenger's door electronics,coded ,32
IDE01996-SFT00085-Installation list: specified installations-Headlamp range control,Not coded ,32
IDE01996-SFT00086-Installation list: specified installations-Radio,Not coded ,32
IDE01996-SFT00087-Installation list: specified installations-TV Tuner,Not coded ,32
IDE01996-SFT00095-Installation list: specified installations-Information electronics 1,coded ,32
IDE01996-SFT00096-Installation list: specified installations-Trip recorder,Not coded ,32
IDE01996-SFT00101-Installation list: specified installations-Tire Pressure Monitoring System (TPMS),Not coded ,32
IDE01996-SFT00105-Installation list: specified installations-Trailer Function,Not coded ,32
IDE01996-SFT00108-Installation list: specified installations-Rear view camera system,Not coded ,32
IDE01996-SFT00109-Installation list: specified installations-Rear lid electronics,Not coded ,32
IDE01996-SFT00117-Installation list: specified installations-Emergency call module and communication unit,coded ,32
IDE01996-SFT00118-Installation list: specified installations-Parking aid,coded ,32
IDE01996-SFT00128-Installation list: specified installations-Battery control additional memory 1,Not coded ,32
IDE01996-SFT00130-Installation list: specified installations-Head-Up-Display,Not coded ,32
IDE01996-SFT00140-Installation list: specified installations-Hybrid Battery Management,coded ,32
IDE01996-SFT00165-Installation list: specified installations-Front sensor for drivers assistant systems,coded ,32
IDE01996-SFT00166-Installation list: specified installations-Microphone control module,Not coded ,32
IDE01996-SFT00169-Installation list: specified installations-Structure-borne sound actuator,Not coded ,32
IDE01996-SFT00183-Installation list: specified installations-Interface for access/start system,coded ,32
IDE01996-SFT00187-Installation list: specified installations-Rear drivers side door electronics,Not coded ,32
IDE01996-SFT00188-Installation list: specified installations-Rear passenger side door electronics,Not coded ,32
IDE01996-SFT00189-Installation list: specified installations-High-voltage battery charging management,coded ,32
IDE01996-SFT00190-Installation list: specified installations-Left rear sliding door,Not coded ,32
IDE01996-SFT00191-Installation list: specified installations-Right rear sliding door,Not coded ,32
IDE01996-SFT00192-Installation list: specified installations-Actuator For Exterior Noise,Not coded ,32
IDE01996-SFT00197-Installation list: specified installations-Thermal management,coded ,32
IDE01996-SFT00198-Installation list: specified installations-High-voltage battery charger,coded ,32
IDE01996-SFT00202-Installation list: specified installations-Sunroof control module,Not coded ,32
IDE01996-SFT00204-Installation list: specified installations-Starter generator,Not coded ,32
IDE01996-SFT00207-Installation list: specified installations-Lane Change Assistance 2,Not coded ,32
IDE01996-ENG118226-Installation list: specified installations-Node_0x01,Not coded ,32
IDE01996-ENG118227-Installation list: specified installations-Node_0x02,Not coded ,32
IDE01996-ENG118228-Installation list: specified installations-Node_0x03,Not coded ,32
IDE01996-ENG118229-Installation list: specified installations-Node_0x04,Not coded ,32
IDE01996-ENG118230-Installation list: specified installations-Node_0x05,Not coded ,32
IDE01996-ENG118231-Installation list: specified installations-Node_0x06,Not coded ,32
IDE01996-ENG118232-Installation list: specified installations-Node_0x07,Not coded ,32
IDE01996-ENG118233-Installation list: specified installations-Node_0x08,Not coded ,32
IDE01996-ENG118235-Installation list: specified installations-Node_0x0D,Not coded ,32
IDE01996-ENG118236-Installation list: specified installations-Node_0x11,Not coded ,32
IDE01996-ENG118237-Installation list: specified installations-Node_0x16,Not coded ,32
IDE01996-ENG118238-Installation list: specified installations-Node_0x17,Not coded ,32
IDE01996-ENG118239-Installation list: specified installations-Node_0x1A,Not coded ,32
IDE01996-ENG118241-Installation list: specified installations-Node_0x1D,Not coded ,32
IDE01996-ENG118242-Installation list: specified installations-Node_0x1F,Not coded ,32
IDE01996-ENG118243-Installation list: specified installations-Node_0x20,Not coded ,32
IDE01996-ENG118244-Installation list: specified installations-Node_0x21,Not coded ,32
IDE01996-ENG118245-Installation list: specified installations-Node_0x22,Not coded ,32
IDE01996-ENG118246-Installation list: specified installations-Node_0x24,Not coded ,32
IDE01996-ENG118247-Installation list: specified installations-Node_0x25,Not coded ,32
IDE01996-ENG118248-Installation list: specified installations-Node_0x26,Not coded ,32
IDE01996-ENG118249-Installation list: specified installations-Node_0x27,Not coded ,32
IDE01996-ENG118250-Installation list: specified installations-Node_0x28,Not coded ,32
IDE01996-ENG118251-Installation list: specified installations-Node_0x29,Not coded ,32
IDE01996-ENG118252-Installation list: specified installations-Node_0x2A,Not coded ,32
IDE01996-ENG118253-Installation list: specified installations-Node_0x2E,Not coded ,32
IDE01996-ENG118254-Installation list: specified installations-Node_0x2F,Not coded ,32
IDE01996-ENG118255-Installation list: specified installations-Node_0x35,Not coded ,32
IDE01996-ENG118256-Installation list: specified installations-Node_0x36,Not coded ,32
IDE01996-ENG118257-Installation list: specified installations-Node_0x37,Not coded ,32
IDE01996-ENG118258-Installation list: specified installations-Node_0x38,Not coded ,32
IDE01996-ENG118259-Installation list: specified installations-Node_0x39,Not coded ,32
IDE01996-ENG118260-Installation list: specified installations-Node_0x3A,Not coded ,32
IDE01996-ENG118261-Installation list: specified installations-Node_0x3C,Not coded ,32
IDE01996-ENG118262-Installation list: specified installations-Node_0x3D,Not coded ,32
IDE01996-ENG118263-Installation list: specified installations-Node_0x40,Not coded ,32
IDE01996-ENG118264-Installation list: specified installations-Node_0x41,Not coded ,32
IDE01996-ENG118265-Installation list: specified installations-Node_0x43,Not coded ,32
IDE01996-ENG118266-Installation list: specified installations-Node_0x45,Not coded ,32
IDE01996-ENG118267-Installation list: specified installations-Node_0x48,Not coded ,32
IDE01996-ENG118268-Installation list: specified installations-Node_0x49,Not coded ,32
IDE01996-ENG118269-Installation list: specified installations-Node_0x51,Not coded ,32
IDE01996-ENG118270-Installation list: specified installations-Node_0x52,Not coded ,32
IDE01996-ENG118271-Installation list: specified installations-Node_0x53,Not coded ,32
IDE01996-ENG118272-Installation list: specified installations-Node_0x55,Not coded ,32
IDE01996-ENG118273-Installation list: specified installations-Node_0x56,Not coded ,32
IDE01996-ENG118274-Installation list: specified installations-Node_0x58,Not coded ,32
IDE01996-ENG118275-Installation list: specified installations-Node_0x59,Not coded ,32
IDE01996-ENG118276-Installation list: specified installations-Node_0x5A,Not coded ,32
IDE01996-ENG118277-Installation list: specified installations-Node_0x5B,Not coded ,32
IDE01996-ENG118278-Installation list: specified installations-Node_0x5C,Not coded ,32
IDE01996-ENG118279-Installation list: specified installations-Node_0x5D,Not coded ,32
IDE01996-ENG118280-Installation list: specified installations-Node_0x5E,Not coded ,32
IDE01996-ENG118281-Installation list: specified installations-Node_0x5F,Not coded ,32
IDE01996-ENG118282-Installation list: specified installations-Node_0x60,Not coded ,32
IDE01996-ENG118283-Installation list: specified installations-Node_0x61,Not coded ,32
IDE01996-ENG118284-Installation list: specified installations-Node_0x62,Not coded ,32
IDE01996-ENG118285-Installation list: specified installations-Node_0x66,Not coded ,32
IDE01996-ENG118286-Installation list: specified installations-Node_0x68,Not coded ,32
IDE01996-ENG118287-Installation list: specified installations-Node_0x6B,Not coded ,32
IDE01996-ENG118288-Installation list: specified installations-Node_0x6C,Not coded ,32
IDE01996-ENG118289-Installation list: specified installations-Node_0x6E,Not coded ,32
IDE01996-ENG118290-Installation list: specified installations-Node_0x74,Not coded ,32
IDE01996-ENG118291-Installation list: specified installations-Node_0x75,Not coded ,32
IDE01996-ENG118292-Installation list: specified installations-Node_0x78,Not coded ,32
IDE01996-ENG118293-Installation list: specified installations-Node_0x79,Not coded ,32
IDE01996-ENG118294-Installation list: specified installations-Node_0x7A,Not coded ,32
IDE01996-ENG118295-Installation list: specified installations-Node_0x7D,Not coded ,32
IDE01996-ENG118296-Installation list: specified installations-Node_0x7E,Not coded ,32
IDE01996-ENG118297-Installation list: specified installations-Node_0x7F,Not coded ,32
IDE01996-ENG118298-Installation list: specified installations-Node_0x80,Not coded ,32
IDE01996-ENG118299-Installation list: specified installations-Node_0x81,Not coded ,32
IDE01996-ENG118300-Installation list: specified installations-Node_0x82,Not coded ,32
IDE01996-ENG118301-Installation list: specified installations-Node_0x83,Not coded ,32
IDE01996-ENG118303-Installation list: specified installations-Node_0x86,Not coded ,32
IDE01996-ENG118304-Installation list: specified installations-Node_0x87,Not coded ,32
IDE01996-ENG118305-Installation list: specified installations-Node_0x88,Not coded ,32
IDE01996-ENG118306-Installation list: specified installations-Node_0x89,Not coded ,32
IDE01996-ENG118307-Installation list: specified installations-Node_0x8B,Not coded ,32
IDE01996-ENG118308-Installation list: specified installations-Node_0x8C,Not coded ,32
IDE01996-ENG118309-Installation list: specified installations-Node_0x8D,Not coded ,32
IDE01996-ENG118310-Installation list: specified installations-Node_0x8E,Not coded ,32
IDE01996-ENG118311-Installation list: specified installations-Node_0x8F,Not coded ,32
IDE01996-ENG118312-Installation list: specified installations-Node_0x90,Not coded ,32
IDE01996-ENG118313-Installation list: specified installations-Node_0x91,Not coded ,32
IDE01996-ENG118314-Installation list: specified installations-Node_0x92,Not coded ,32
IDE01996-ENG118315-Installation list: specified installations-Node_0x93,Not coded ,32
IDE01996-ENG118316-Installation list: specified installations-Node_0x94,Not coded ,32
IDE01996-ENG118317-Installation list: specified installations-Node_0x95,Not coded ,32
IDE01996-ENG118318-Installation list: specified installations-Node_0x96,Not coded ,32
IDE01996-ENG118319-Installation list: specified installations-Node_0x97,Not coded ,32
IDE01996-ENG118320-Installation list: specified installations-Node_0x98,Not coded ,32
IDE01996-ENG118321-Installation list: specified installations-Node_0x99,Not coded ,32
IDE01996-ENG118322-Installation list: specified installations-Node_0x9A,Not coded ,32
IDE01996-ENG118323-Installation list: specified installations-Node_0x9B,Not coded ,32
IDE01996-ENG118325-Installation list: specified installations-Node_0x9D,Not coded ,32
IDE01996-ENG118326-Installation list: specified installations-Node_0x9E,Not coded ,32
IDE01996-ENG118327-Installation list: specified installations-Node_0x9F,Not coded ,32
IDE01996-ENG118328-Installation list: specified installations-Node_0xA0,Not coded ,32
IDE01996-ENG118329-Installation list: specified installations-Node_0xA1,Not coded ,32
IDE01996-ENG118330-Installation list: specified installations-Node_0xA2,Not coded ,32
IDE01996-ENG118331-Installation list: specified installations-Node_0xA3,Not coded ,32
IDE01996-ENG118333-Installation list: specified installations-Node_0xA5,Not coded ,32
IDE01996-ENG118334-Installation list: specified installations-Node_0xA6,Not coded ,32
IDE01996-ENG118335-Installation list: specified installations-Node_0xA7,Not coded ,32
IDE01996-ENG118336-Installation list: specified installations-Node_0xA8,Not coded ,32
IDE01996-ENG118338-Installation list: specified installations-Node_0xAA,Not coded ,32
IDE01996-ENG118339-Installation list: specified installations-Node_0xAB,Not coded ,32
IDE01996-ENG118340-Installation list: specified installations-Node_0xAC,Not coded ,32
IDE01996-ENG118341-Installation list: specified installations-Node_0xAD,Not coded ,32
IDE01996-ENG118343-Installation list: specified installations-Node_0xAF,Not coded ,32
IDE01996-ENG118344-Installation list: specified installations-Node_0xB0,Not coded ,32
IDE01996-ENG118345-Installation list: specified installations-Node_0xB1,Not coded ,32
IDE01996-ENG118346-Installation list: specified installations-Node_0xB2,Not coded ,32
IDE01996-ENG118347-Installation list: specified installations-Node_0xB3,Not coded ,32
IDE01996-ENG118348-Installation list: specified installations-Node_0xB4,Not coded ,32
IDE01996-ENG118349-Installation list: specified installations-Node_0xB5,Not coded ,32
IDE01996-ENG118350-Installation list: specified installations-Node_0xB6,Not coded ,32
IDE01996-ENG118351-Installation list: specified installations-Node_0xB7,Not coded ,32
IDE01996-ENG118352-Installation list: specified installations-Node_0xB8,Not coded ,32
IDE01996-ENG118353-Installation list: specified installations-Node_0xB9,Not coded ,32
IDE01996-ENG118354-Installation list: specified installations-Node_0xBA,Not coded ,32
IDE01996-ENG118355-Installation list: specified installations-Node_0xBB,Not coded ,32
IDE01996-ENG118356-Installation list: specified installations-Node_0xBC,Not coded ,32
IDE01996-ENG118357-Installation list: specified installations-Node_0xBD,Not coded ,32
IDE01996-ENG118358-Installation list: specified installations-Node_0xBE,Not coded ,32
IDE01996-ENG118359-Installation list: specified installations-Node_0xBF,Not coded ,32
IDE01996-ENG118360-Installation list: specified installations-Node_0xC0,Not coded ,32
IDE01996-ENG118361-Installation list: specified installations-Node_0xC1,Not coded ,32
IDE01996-ENG118362-Installation list: specified installations-Node_0xC2,Not coded ,32
IDE01996-ENG118363-Installation list: specified installations-Node_0xC3,Not coded ,32
IDE01996-ENG118364-Installation list: specified installations-Node_0xC4,Not coded ,32
IDE01996-ENG118365-Installation list: specified installations-Node_0xC5,Not coded ,32
IDE01996-ENG118366-Installation list: specified installations-Node_0xC6,Not coded ,32
IDE01996-ENG118367-Installation list: specified installations-Node_0xC7,Not coded ,32
IDE01996-ENG118368-Installation list: specified installations-Node_0xC8,Not coded ,32
IDE01996-ENG118369-Installation list: specified installations-Node_0xC9,Not coded ,32
IDE01996-ENG118370-Installation list: specified installations-Node_0xCA,Not coded ,32
IDE01996-ENG118371-Installation list: specified installations-Node_0xCB,Not coded ,32
IDE01996-ENG118372-Installation list: specified installations-Node_0xCC,Not coded ,32
IDE01996-ENG118373-Installation list: specified installations-Node_0xCD,Not coded ,32
IDE01996-ENG118374-Installation list: specified installations-Node_0xCE,Not coded ,32
IDE01996-ENG118375-Installation list: specified installations-Node_0xCF,Not coded ,32
IDE01996-ENG118376-Installation list: specified installations-Node_0xD0,Not coded ,32
IDE01996-ENG118377-Installation list: specified installations-Node_0xD1,Not coded ,32
IDE01996-ENG118378-Installation list: specified installations-Node_0xD2,Not coded ,32
IDE01996-ENG118379-Installation list: specified installations-Node_0xD3,Not coded ,32
IDE01996-ENG118380-Installation list: specified installations-Node_0xD4,Not coded ,32
IDE01996-ENG118381-Installation list: specified installations-Node_0xD5,Not coded ,32
IDE01996-ENG118382-Installation list: specified installations-Node_0xD6,Not coded ,32
IDE01996-ENG118383-Installation list: specified installations-Node_0xD7,Not coded ,32
IDE01996-ENG118384-Installation list: specified installations-Node_0xD8,Not coded ,32
IDE01996-ENG118385-Installation list: specified installations-Node_0xD9,Not coded ,32
IDE01996-ENG118386-Installation list: specified installations-Node_0xDA,Not coded ,32
IDE01996-ENG118387-Installation list: specified installations-Node_0xDB,Not coded ,32
IDE01996-ENG118388-Installation list: specified installations-Node_0xDC,Not coded ,32
IDE01996-ENG118389-Installation list: specified installations-Node_0xDD,Not coded ,32
IDE01996-ENG118390-Installation list: specified installations-Node_0xDE,Not coded ,32
IDE01996-ENG118391-Installation list: specified installations-Node_0xDF,Not coded ,32
IDE01996-ENG118392-Installation list: specified installations-Node_0xE0,Not coded ,32
IDE01996-ENG118393-Installation list: specified installations-Node_0xE1,Not coded ,32
IDE01996-ENG118394-Installation list: specified installations-Node_0xE2,Not coded ,32
IDE01996-ENG118395-Installation list: specified installations-Node_0xE3,Not coded ,32
IDE01996-ENG118396-Installation list: specified installations-Node_0xE4,Not coded ,32
IDE01996-ENG118397-Installation list: specified installations-Node_0xE5,Not coded ,32
IDE01996-ENG118398-Installation list: specified installations-Node_0xE6,Not coded ,32
IDE01996-ENG118399-Installation list: specified installations-Node_0xE7,Not coded ,32
IDE01996-ENG118400-Installation list: specified installations-Node_0xE8,Not coded ,32
IDE01996-ENG118401-Installation list: specified installations-Node_0xE9,Not coded ,32
IDE01996-ENG118402-Installation list: specified installations-Node_0xEA,Not coded ,32
IDE01996-ENG118403-Installation list: specified installations-Node_0xEB,Not coded ,32
IDE01996-ENG118404-Installation list: specified installations-Node_0xEC,Not coded ,32
IDE01996-ENG118405-Installation list: specified installations-Node_0xED,Not coded ,32
IDE01996-ENG118406-Installation list: specified installations-Node_0xEE,Not coded ,32
IDE01996-ENG118407-Installation list: specified installations-Node_0xEF,Not coded ,32
IDE01996-ENG118408-Installation list: specified installations-Node_0xF0,Not coded ,32
IDE01996-ENG118409-Installation list: specified installations-Node_0xF1,Not coded ,32
IDE01996-ENG118410-Installation list: specified installations-Node_0xF2,Not coded ,32
IDE01996-ENG118411-Installation list: specified installations-Node_0xF3,Not coded ,32
IDE01996-ENG118412-Installation list: specified installations-Node_0xF4,Not coded ,32
IDE01996-ENG118413-Installation list: specified installations-Node_0xF5,Not coded ,32
IDE01996-ENG118414-Installation list: specified installations-Node_0xF6,Not coded ,32
IDE01996-ENG118415-Installation list: specified installations-Node_0xF7,Not coded ,32
IDE01996-ENG118416-Installation list: specified installations-Node_0xF8,Not coded ,32
IDE01996-ENG118417-Installation list: specified installations-Node_0xF9,Not coded ,32
IDE01996-ENG118418-Installation list: specified installations-Node_0xFA,Not coded ,32
IDE01996-ENG118419-Installation list: specified installations-Node_0xFB,Not coded ,32
IDE01996-ENG118420-Installation list: specified installations-Node_0xFC,Not coded ,32
IDE01996-ENG118421-Installation list: specified installations-Node_0xFD,Not coded ,32
IDE01996-ENG118422-Installation list: specified installations-Node_0xFE,Not coded ,32
IDE01996-ENG118423-Installation list: specified installations-Node_0xFF,Not coded ,32
IDE02332-Deactivate production mode,0 ,3
IDE03256-MAS06105-Battery adaptation-Rated battery capacity,72 Ah,15
IDE03256-MAS06106-Battery adaptation-Battery technology,Fleece ,15
IDE03256-MAS06107-Battery adaptation-Battery manufacturer,TU3 ,15
IDE03256-MAS06108-Battery adaptation-Battery Serial Number,1111111111 ,15
IDE03903-Production process data 1,00 00 ,2
IDE04186-Battery terminal recognition,connected ,1
IDE04330-Transfer of release code for a SWaP function,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,1
IDE04331-Selection of release codes for a SWaP function,FF FF FF FF ,4
IDE06530-Distance left for deactivation of static current measuring mode,2 ,1
IDE06541-Distance left for deactivation of transport mode,50 ,1
IDE06753-MAS06278-Efficiency program display-Live tip air resistance: close window/sunroof,activated ,4
IDE06753-MAS06279-Efficiency program display-Live tip engine brake: uncouple not until below 1300 RPM,activated ,4
IDE06753-MAS06280-Efficiency program display-Live tip do not operate gas pedal during engine start,not activated ,4
IDE06753-MAS06281-Efficiency program display-Live tip adhere to switch display (only manual switch),activated ,4
IDE06753-MAS06282-Efficiency program display-Live tip use start-stop-system,activated ,4
IDE06753-MAS06283-Efficiency program display-Live tip switch on start-stop-system,activated ,4
IDE06753-MAS06284-Efficiency program display-Live tip air conditioning: close window/sunroof,activated ,4
IDE06753-MAS06285-Efficiency program display-Live tip use gearshift position D,activated ,4
IDE06753-MAS06286-Efficiency program display-Live tip Do not press accelerator pedal at standstill,not activated ,4
IDE06753-MAS06287-Efficiency program display-Live tip sunroof open: switch of A/C (AC button),activated ,4
IDE06753-MAS06288-Efficiency program display-Live tip avoid engine warm-up at standstill,not activated ,4
IDE06753-MAS06289-Efficiency program display-Comfort use A/C,activated ,4
IDE06753-MAS06290-Efficiency program display-Comfort use parking heater,activated ,4
IDE06753-MAS06291-Efficiency program display-Comfort use rear window heater,activated ,4
IDE06753-MAS06292-Efficiency program display-Comfort use front seat heater,activated ,4
IDE06753-MAS06293-Efficiency program display-Comfort use front seat ventilation,activated ,4
IDE06753-MAS06294-Efficiency program display-Comfort use rear heater,activated ,4
IDE06753-MAS06295-Efficiency program display-Comfort use fog light,activated ,4
IDE06753-MAS06296-Efficiency program display-Comfort use rear fog light,not activated ,4
IDE06753-MAS06297-Efficiency program display-Comfort use parking heater consumption emission,activated ,4
IDE06753-MAS06298-Efficiency program display-Comfort use windshield heater,activated ,4
IDE06753-MAS06299-Efficiency program display-Comfort use steering wheel heater,activated ,4
IDE06753-MAS06300-Efficiency program display-Comfort use mirror heater,activated ,4
IDE06753-MAS06301-Efficiency program display-Comfort use rear seat heater,activated ,4
IDE06753-MAS06302-Efficiency program display-Comfort use rear seat ventilation,activated ,4
IDE06753-MAS14430-Efficiency program display-Dependence of ECO tips on driver profile selection,ECO tips independent of driver profile selection ,4
IDE06753-MAS19094-Efficiency program display-Rear A/C System blower convenience consumption,activated ,4
IDE06753-MAS19095-Efficiency program display-Convenience consumption outer mirror heater dependency,Until temperature threshold: with after-run: with switch ,4
IDE07838-Counter for inconsistent states,0 ,2
IDE08348-Start/stop start voltage limit,9.0 V,1
IDE08624-MKE Check box,activated ,1
IDE09797-IDE10294-Adaptation of range calculation-Initialization of LPG range consumption,1.0 l/100km,48
IDE09797-MAS09198-Adaptation of range calculation-Init. value of average speed electrical trip,4 km/h,48
IDE09797-MAS09199-Adaptation of range calculation-Init. value absolute forecast deviation air-condition. interior,-15000 W,48
IDE09797-MAS09200-Adaptation of range calculation-Init. value average performance A/C components,0 W,48
IDE09797-MAS09201-Adaptation of range calculation-Init. value average perf. low voltage basic consumer,0 W,48
IDE09797-MAS09202-Adaptation of range calculation-Init. value RWDS load profile,15 A,48
IDE09797-MAS09203-Adaptation of range calculation-Init. value of elec. average consumption on street class 0,1.0 kWh/100 km,48
IDE09797-MAS09204-Adaptation of range calculation-Init. value of elec. average consumption on street class 1,1.0 kWh/100 km,48
IDE09797-MAS09205-Adaptation of range calculation-Init. value of elec. average consumption on street class 2,1.0 kWh/100 km,48
IDE09797-MAS09206-Adaptation of range calculation-Init. value of elec. average consumption on street class 3,1.0 kWh/100 km,48
IDE09797-MAS09207-Adaptation of range calculation-Init. value of elec. average consumption on street class 4,1.0 kWh/100 km,48
IDE09797-MAS09208-Adaptation of range calculation-Init. value of elec. average consumption on street class 5,1.0 kWh/100 km,48
IDE09797-MAS09209-Adaptation of range calculation-Init. value average consumption BMS electric (forecast horizon),1.5 kWh/100 km,48
IDE09797-MAS09210-Adaptation of range calculation-Init. value cons. eng. range cons.,1.0 l/100km,48
IDE09797-MAS09211-Adaptation of range calculation-Init. value average range consumption: electric traction,1.0 kWh/100 km,48
IDE09797-MAS09212-Adaptation of range calculation-Init. value of elec. average consumption on street class 6,1.0 kWh/100 km,48
IDE09797-MAS10126-Adaptation of range calculation-Initialization of CNG range consumption,1.0 kg/100 km,48
IDE09797-MAS10294-Adaptation of range calculation-Initial value of average fuel consumption on street class 0,1.0 l/100km,48
IDE09797-MAS10295-Adaptation of range calculation-Initial value of average fuel consumption on street class 1,1.0 l/100km,48
IDE09797-MAS10296-Adaptation of range calculation-Initial value of average fuel consumption on street class 2,1.0 l/100km,48
IDE09797-MAS10297-Adaptation of range calculation-Initial value of average fuel consumption on street class 3,1.0 l/100km,48
IDE09797-MAS10298-Adaptation of range calculation-Initial value of average fuel consumption on street class 4,1.0 l/100km,48
IDE09797-MAS10299-Adaptation of range calculation-Initial value of average fuel consumption on street class 5,1.0 l/100km,48
IDE09797-MAS10300-Adaptation of range calculation-Initial value of average fuel consumption on street class 6,1.0 l/100km,48
IDE10735-Number requests autonomous recharging,3 ,1
IDE10736-Cyclization limitation request battery service,0 ,1
IDE10748-MAS11262-Range gain-Range gain AC system,activated ,3
IDE10748-MAS11263-Range gain-Range gain auxiliary heater,activated ,3
IDE10748-MAS11264-Range gain-Range gain window defogger,activated ,3
