;SW:5Q0-937-084-CP   HW:5Q0-937-084-CF ---  Cent. Elect.
;Component:BCM MQBAB M+  H36 0253, Coding:000000000000000000000000000000000000000000000000000000000000
IDE12412-ENG154764-LIN Ambient light color list-Rotwert_Farbe_3_lin,0 ,30
IDE12412-ENG154767-LIN Ambient light color list-Rotwert_Farbe_4_lin,0 ,30
IDE12412-ENG154768-LIN Ambient light color list-Rotwert_Farbe_5_lin,0 ,30
IDE12412-ENG154769-LIN Ambient light color list-Rotwert_Farbe_6_lin,0 ,30
IDE12412-ENG154770-LIN Ambient light color list-Rotwert_Farbe_7_lin,0 ,30
IDE12412-ENG154771-LIN Ambient light color list-Rotwert_Farbe_8_lin,0 ,30
IDE12412-ENG154772-LIN Ambient light color list-Rotwert_Farbe_9_lin,0 ,30
IDE80001-ENG125667-Analysis 1-EE_pMax_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80001-ENG125666-Analysis 1-EE_pMax_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80001-ENG125668-Analysis 1-EE_pMax_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80001-ENG125673-Analysis 1-EE_tEnt_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80001-ENG125672-Analysis 1-EE_tEnt_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80001-ENG125674-Analysis 1-EE_tEnt_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80001-ENG125670-Analysis 1-EE_tHalte_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80001-ENG125669-Analysis 1-EE_tHalte_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80001-ENG125671-Analysis 1-EE_tHalte_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80001-ENG125676-Analysis 1-EE_tWarte_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80001-ENG125675-Analysis 1-EE_tWarte_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80001-ENG125677-Analysis 1-EE_tWarte_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80001-ENG125664-Analysis 1-EE_Upumpe_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80001-ENG125663-Analysis 1-EE_Upumpe_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80001-ENG125665-Analysis 1-EE_Upumpe_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80002-ENG125667-Analysis 2-EE_pMax_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80002-ENG125666-Analysis 2-EE_pMax_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80002-ENG125668-Analysis 2-EE_pMax_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80002-ENG125673-Analysis 2-EE_tEnt_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80002-ENG125672-Analysis 2-EE_tEnt_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80002-ENG125674-Analysis 2-EE_tEnt_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80002-ENG125670-Analysis 2-EE_tHalte_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80002-ENG125669-Analysis 2-EE_tHalte_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80002-ENG125671-Analysis 2-EE_tHalte_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80002-ENG125676-Analysis 2-EE_tWarte_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80002-ENG125675-Analysis 2-EE_tWarte_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80002-ENG125677-Analysis 2-EE_tWarte_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80002-ENG125664-Analysis 2-EE_Upumpe_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80002-ENG125663-Analysis 2-EE_Upumpe_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80002-ENG125665-Analysis 2-EE_Upumpe_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80003-ENG125667-Analysis 3-EE_pMax_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80003-ENG125666-Analysis 3-EE_pMax_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80003-ENG125668-Analysis 3-EE_pMax_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80003-ENG125673-Analysis 3-EE_tEnt_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80003-ENG125672-Analysis 3-EE_tEnt_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80003-ENG125674-Analysis 3-EE_tEnt_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80003-ENG125670-Analysis 3-EE_tHalte_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80003-ENG125669-Analysis 3-EE_tHalte_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80003-ENG125671-Analysis 3-EE_tHalte_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80003-ENG125676-Analysis 3-EE_tWarte_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80003-ENG125675-Analysis 3-EE_tWarte_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80003-ENG125677-Analysis 3-EE_tWarte_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80003-ENG125664-Analysis 3-EE_Upumpe_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80003-ENG125663-Analysis 3-EE_Upumpe_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80003-ENG125665-Analysis 3-EE_Upumpe_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80004-ENG125667-Analysis 4-EE_pMax_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80004-ENG125666-Analysis 4-EE_pMax_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80004-ENG125668-Analysis 4-EE_pMax_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80004-ENG125673-Analysis 4-EE_tEnt_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80004-ENG125672-Analysis 4-EE_tEnt_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80004-ENG125674-Analysis 4-EE_tEnt_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80004-ENG125670-Analysis 4-EE_tHalte_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80004-ENG125669-Analysis 4-EE_tHalte_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80004-ENG125671-Analysis 4-EE_tHalte_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80004-ENG125676-Analysis 4-EE_tWarte_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80004-ENG125675-Analysis 4-EE_tWarte_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80004-ENG125677-Analysis 4-EE_tWarte_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80004-ENG125664-Analysis 4-EE_Upumpe_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80004-ENG125663-Analysis 4-EE_Upumpe_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80004-ENG125665-Analysis 4-EE_Upumpe_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80005-ENG125667-Analysis 5-EE_pMax_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80005-ENG125666-Analysis 5-EE_pMax_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80005-ENG125668-Analysis 5-EE_pMax_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80005-ENG125673-Analysis 5-EE_tEnt_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80005-ENG125672-Analysis 5-EE_tEnt_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80005-ENG125674-Analysis 5-EE_tEnt_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80005-ENG125670-Analysis 5-EE_tHalte_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80005-ENG125669-Analysis 5-EE_tHalte_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80005-ENG125671-Analysis 5-EE_tHalte_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80005-ENG125676-Analysis 5-EE_tWarte_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80005-ENG125675-Analysis 5-EE_tWarte_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80005-ENG125677-Analysis 5-EE_tWarte_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80005-ENG125664-Analysis 5-EE_Upumpe_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80005-ENG125663-Analysis 5-EE_Upumpe_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80005-ENG125665-Analysis 5-EE_Upumpe_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80006-ENG125667-Analysis 6-EE_pMax_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80006-ENG125666-Analysis 6-EE_pMax_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80006-ENG125668-Analysis 6-EE_pMax_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80006-ENG125673-Analysis 6-EE_tEnt_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80006-ENG125672-Analysis 6-EE_tEnt_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80006-ENG125674-Analysis 6-EE_tEnt_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80006-ENG125670-Analysis 6-EE_tHalte_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80006-ENG125669-Analysis 6-EE_tHalte_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80006-ENG125671-Analysis 6-EE_tHalte_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80006-ENG125676-Analysis 6-EE_tWarte_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80006-ENG125675-Analysis 6-EE_tWarte_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80006-ENG125677-Analysis 6-EE_tWarte_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80006-ENG125664-Analysis 6-EE_Upumpe_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80006-ENG125663-Analysis 6-EE_Upumpe_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80006-ENG125665-Analysis 6-EE_Upumpe_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80007-ENG125682-Analysis 7-s_GrobleckerkennungDauer,No Response From Subnet Component,30
IDE80007-ENG125680-Analysis 7-s_LatenzzeitHaengenderTaster,No Response From Subnet Component,30
IDE80007-ENG125681-Analysis 7-s_Leckageerkennung,No Response From Subnet Component,30
IDE80007-ENG125678-Analysis 7-s_UeberspannungsSschwelle,No Response From Subnet Component,30
IDE80007-ENG125679-Analysis 7-s_UnterspannungsSchwelle,No Response From Subnet Component,30
IDE80008-ENG125684-Analysis 8-s_DruckschwelleNachlauf,No Response From Subnet Component,30
IDE80008-ENG126855-Analysis 8-s_Maximaldruck_LRD_m,No Response From Subnet Component,30
IDE80008-ENG126854-Analysis 8-s_Maximaldruck_LRD_o,No Response From Subnet Component,30
IDE80008-ENG126856-Analysis 8-s_Maximaldruck_LRD_u,No Response From Subnet Component,30
IDE80008-ENG126857-Analysis 8-s_Maximaldruck_Sitzlehnenwangen,No Response From Subnet Component,30
IDE80008-ENG126863-Analysis 8-s_Maximaldruck_Ueberlastschutz,No Response From Subnet Component,30
IDE80008-ENG126862-Analysis 8-s_Maximaler_Differenzdruck_LRD_Vor_Zurueck,No Response From Subnet Component,30
IDE80008-ENG126859-Analysis 8-s_Minimaldruck_LRD_m,No Response From Subnet Component,30
IDE80008-ENG126858-Analysis 8-s_Minimaldruck_LRD_o,No Response From Subnet Component,30
IDE80008-ENG126860-Analysis 8-s_Minimaldruck_LRD_u,No Response From Subnet Component,30
IDE80008-ENG126864-Analysis 8-s_Minimaldruck_Massage,No Response From Subnet Component,30
IDE80008-ENG126861-Analysis 8-s_MinimaldruckSitzlehnenwangen,No Response From Subnet Component,30
IDE80008-ENG125683-Analysis 8-s_ZieldruckDerSitzlehnenwangenBeiPreCrash,No Response From Subnet Component,30
IDE80009-ENG125687-Analysis 9-s_AnzahlDruckmessungenIntervallerhoehung,No Response From Subnet Component,30
IDE80009-ENG125689-Analysis 9-s_AussendruckschwelleNachregelung,No Response From Subnet Component,30
IDE80009-ENG125685-Analysis 9-s_BasismessintervallNachregelung,No Response From Subnet Component,30
IDE80009-ENG125688-Analysis 9-s_BlasendruckschwelleNachregelung,No Response From Subnet Component,30
IDE80009-ENG125686-Analysis 9-s_ErhoehungsintervallNachregelung,No Response From Subnet Component,30
IDE80011-ENG125667-Analysis 11-EE_pMax_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80011-ENG125666-Analysis 11-EE_pMax_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80011-ENG125668-Analysis 11-EE_pMax_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80011-ENG125673-Analysis 11-EE_tEnt_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80011-ENG125672-Analysis 11-EE_tEnt_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80011-ENG125674-Analysis 11-EE_tEnt_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80011-ENG125670-Analysis 11-EE_tHalte_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80011-ENG125669-Analysis 11-EE_tHalte_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80011-ENG125671-Analysis 11-EE_tHalte_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80011-ENG125676-Analysis 11-EE_tWarte_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80011-ENG125675-Analysis 11-EE_tWarte_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80011-ENG125677-Analysis 11-EE_tWarte_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80011-ENG125664-Analysis 11-EE_Upumpe_LM_MSG_Px_Iy,No Response From Subnet Component,30
IDE80011-ENG125663-Analysis 11-EE_Upumpe_LO_MSG_Px_Iy,No Response From Subnet Component,30
IDE80011-ENG125665-Analysis 11-EE_Upumpe_LU_MSG_Px_Iy,No Response From Subnet Component,30
IDE80012-ENG125693-Analysis 12-s_DauerFuerGrobleckerkennung,No Response From Subnet Component,30
IDE80012-ENG125680-Analysis 12-s_LatenzzeitHaengenderTaster,No Response From Subnet Component,30
IDE80012-ENG125681-Analysis 12-s_Leckageerkennung,No Response From Subnet Component,30
IDE80012-ENG125678-Analysis 12-s_UeberspannungsSschwelle,No Response From Subnet Component,30
IDE80012-ENG125679-Analysis 12-s_UnterspannungsSchwelle,No Response From Subnet Component,30
IDE80013-ENG126871-Analysis 13-s_Druckschwelle_Nachlauf,No Response From Subnet Component,30
IDE80013-ENG126855-Analysis 13-s_Maximaldruck_LRD_m,No Response From Subnet Component,30
IDE80013-ENG126854-Analysis 13-s_Maximaldruck_LRD_o,No Response From Subnet Component,30
IDE80013-ENG126856-Analysis 13-s_Maximaldruck_LRD_u,No Response From Subnet Component,30
IDE80013-ENG126857-Analysis 13-s_Maximaldruck_Sitzlehnenwangen,No Response From Subnet Component,30
IDE80013-ENG126863-Analysis 13-s_Maximaldruck_Ueberlastschutz,No Response From Subnet Component,30
IDE80013-ENG126870-Analysis 13-s_Maximaler_Differenzdruck_LRD_VorZurueck,No Response From Subnet Component,30
IDE80013-ENG126859-Analysis 13-s_Minimaldruck_LRD_m,No Response From Subnet Component,30
IDE80013-ENG126858-Analysis 13-s_Minimaldruck_LRD_o,No Response From Subnet Component,30
IDE80013-ENG126860-Analysis 13-s_Minimaldruck_LRD_u,No Response From Subnet Component,30
IDE80013-ENG126864-Analysis 13-s_Minimaldruck_Massage,No Response From Subnet Component,30
IDE80013-ENG126869-Analysis 13-s_Minimaldruck_Sitzlehnenwangen,No Response From Subnet Component,30
IDE80013-ENG125683-Analysis 13-s_ZieldruckDerSitzlehnenwangenBeiPreCrash,No Response From Subnet Component,30
IDE80014-ENG125687-Analysis 14-s_AnzahlDruckmessungenIntervallerhoehung,No Response From Subnet Component,30
IDE80014-ENG125689-Analysis 14-s_AussendruckschwelleNachregelung,No Response From Subnet Component,30
IDE80014-ENG125685-Analysis 14-s_BasismessintervallNachregelung,No Response From Subnet Component,30
IDE80014-ENG125688-Analysis 14-s_BlasendruckschwelleNachregelung,No Response From Subnet Component,30
IDE80014-ENG125686-Analysis 14-s_ErhoehungsintervallNachregelung,No Response From Subnet Component,30
IDE80015-ENG126865-Analysis 15-s_Kompressorleistung_Manuelle_Befuellung_LRD,No Response From Subnet Component,30
IDE80015-ENG126867-Analysis 15-s_Kompressorleistung_Manueller_Befuellung_Seitenwangen,No Response From Subnet Component,30
IDE80015-ENG126866-Analysis 15-s_Kompressorleistung_Memorisierte_Befuellung_LRD,No Response From Subnet Component,30
IDE80015-ENG126868-Analysis 15-s_Kompressorleistung_Memorisierte_Befuellung_Seitenwangen,No Response From Subnet Component,30
IDE80015-ENG125690-Analysis 15-s_VerzoegerungszeitKompressoranlauf,No Response From Subnet Component,30
IDE80016-Analysis 16,No Response From Subnet Component,30
IDE80017-ENG133471-Analysis 17-Offset_PB1_LM,No Response From Subnet Component,30
IDE80017-ENG133470-Analysis 17-Offset_PB1_LO,No Response From Subnet Component,30
IDE80017-ENG133472-Analysis 17-Offset_PB1_LU,No Response From Subnet Component,30
IDE80017-ENG133473-Analysis 17-Offset_PB1_SH,No Response From Subnet Component,30
IDE80017-ENG133475-Analysis 17-Offset_PB2_LM,No Response From Subnet Component,30
IDE80017-ENG133474-Analysis 17-Offset_PB2_LO,No Response From Subnet Component,30
IDE80017-ENG133476-Analysis 17-Offset_PB2_LU,No Response From Subnet Component,30
IDE80017-ENG133477-Analysis 17-Offset_PB2_SH,No Response From Subnet Component,30
IDE80017-ENG133483-Analysis 17-Offset_PV1_LM,No Response From Subnet Component,30
IDE80017-ENG133482-Analysis 17-Offset_PV1_LO,No Response From Subnet Component,30
IDE80017-ENG133484-Analysis 17-Offset_PV1_LU,No Response From Subnet Component,30
IDE80017-ENG133485-Analysis 17-Offset_PV1_SH,No Response From Subnet Component,30
IDE80017-ENG133486-Analysis 17-Offset_PV2_LO,No Response From Subnet Component,30
IDE80017-ENG133488-Analysis 17-Offset_PV2_LU,No Response From Subnet Component,30
IDE80017-ENG133489-Analysis 17-Offset_PV2_SH,No Response From Subnet Component,30
IDE80017-ENG133480-Analysis 17-OffsetPP1,No Response From Subnet Component,30
IDE80017-ENG133481-Analysis 17-OffsetPP2,No Response From Subnet Component,30
IDE80017-ENG133487-Analysis 17-OffsetPV2_LMy,No Response From Subnet Component,30
IDE80017-ENG133478-Analysis 17-OffsetT1,No Response From Subnet Component,30
IDE80017-ENG133479-Analysis 17-OffsetT2,No Response From Subnet Component,30
IDE80017-ENG133490-Analysis 17-p_function_feedback_timeout,No Response From Subnet Component,30
IDE80017-ENG133491-Analysis 17-p_longpush_time,No Response From Subnet Component,30
IDE80017-ENG133497-Analysis 17-p_stoesselSchaltschwelle_eins,No Response From Subnet Component,30
IDE80017-ENG133498-Analysis 17-p_stoesselSchaltschwelle_zwei,No Response From Subnet Component,30
IDE80017-ENG133494-Analysis 17-p_tasterSchaltschwelle_drei,No Response From Subnet Component,30
IDE80017-ENG133492-Analysis 17-p_tasterSchaltschwelle_eins,No Response From Subnet Component,30
IDE80017-ENG133496-Analysis 17-p_tasterSchaltschwelle_fuenf,No Response From Subnet Component,30
IDE80017-ENG133495-Analysis 17-p_tasterSchaltschwelle_vier,No Response From Subnet Component,30
IDE80017-ENG133493-Analysis 17-p_tasterSchaltschwelle_zwei,No Response From Subnet Component,30
IDE80017-ENG133458-Analysis 17-s_Beruhigungszeit_Befuellen,No Response From Subnet Component,30
IDE80017-ENG133460-Analysis 17-s_Beruhigungszeit_Druckmessung,No Response From Subnet Component,30
IDE80017-ENG133459-Analysis 17-s_Beruhigungszeit_Entlueften,No Response From Subnet Component,30
IDE80017-ENG133469-Analysis 17-s_Faktor_Druck_Entlueftung_Seitenhalt,No Response From Subnet Component,30
IDE80017-ENG133464-Analysis 17-s_IntervallUmgebungsbedingungen,No Response From Subnet Component,30
IDE80017-ENG133465-Analysis 17-s_MaxIntervall,No Response From Subnet Component,30
IDE80017-ENG133461-Analysis 17-s_Messdauer_Initialisierung,No Response From Subnet Component,30
IDE80017-ENG133462-Analysis 17-s_Messdauer_Kurzzeitmessung,No Response From Subnet Component,30
IDE80017-ENG133463-Analysis 17-s_Messdauer_Langzeitmessung,No Response From Subnet Component,30
IDE80017-ENG133468-Analysis 17-s_Sitzvariante,No Response From Subnet Component,30
IDE80017-ENG133467-Analysis 17-s_Timeout_Befuell_Linearbereich,No Response From Subnet Component,30
IDE80017-ENG133466-Analysis 17-s_Timeout_Befuell_Startbereich,No Response From Subnet Component,30
IDE80017-ENG133457-Analysis 17-s_Uebernahmedruck_P_u,No Response From Subnet Component,30
IDE80017-ENG133456-Analysis 17-s_Uebernahmedruck_PUe_o,No Response From Subnet Component,30
IDE80018-ENG133471-Analysis 18-Offset_PB1_LM,No Response From Subnet Component,30
IDE80018-ENG133472-Analysis 18-Offset_PB1_LU,No Response From Subnet Component,30
IDE80018-ENG133473-Analysis 18-Offset_PB1_SH,No Response From Subnet Component,30
IDE80018-ENG133475-Analysis 18-Offset_PB2_LM,No Response From Subnet Component,30
IDE80018-ENG133474-Analysis 18-Offset_PB2_LO,No Response From Subnet Component,30
IDE80018-ENG133476-Analysis 18-Offset_PB2_LU,No Response From Subnet Component,30
IDE80018-ENG133477-Analysis 18-Offset_PB2_SH,No Response From Subnet Component,30
IDE80018-ENG133483-Analysis 18-Offset_PV1_LM,No Response From Subnet Component,30
IDE80018-ENG133482-Analysis 18-Offset_PV1_LO,No Response From Subnet Component,30
IDE80018-ENG133484-Analysis 18-Offset_PV1_LU,No Response From Subnet Component,30
IDE80018-ENG133485-Analysis 18-Offset_PV1_SH,No Response From Subnet Component,30
IDE80018-ENG133486-Analysis 18-Offset_PV2_LO,No Response From Subnet Component,30
IDE80018-ENG133488-Analysis 18-Offset_PV2_LU,No Response From Subnet Component,30
IDE80018-ENG133489-Analysis 18-Offset_PV2_SH,No Response From Subnet Component,30
IDE80018-ENG133534-Analysis 18-OffsetPB1_LO,No Response From Subnet Component,30
IDE80018-ENG133480-Analysis 18-OffsetPP1,No Response From Subnet Component,30
IDE80018-ENG133481-Analysis 18-OffsetPP2,No Response From Subnet Component,30
IDE80018-ENG133487-Analysis 18-OffsetPV2_LMy,No Response From Subnet Component,30
IDE80018-ENG133478-Analysis 18-OffsetT1,No Response From Subnet Component,30
IDE80018-ENG133479-Analysis 18-OffsetT2,No Response From Subnet Component,30
IDE80018-ENG133490-Analysis 18-p_function_feedback_timeout,No Response From Subnet Component,30
IDE80018-ENG133491-Analysis 18-p_longpush_time,No Response From Subnet Component,30
IDE80018-ENG133497-Analysis 18-p_stoesselSchaltschwelle_eins,No Response From Subnet Component,30
IDE80018-ENG133498-Analysis 18-p_stoesselSchaltschwelle_zwei,No Response From Subnet Component,30
IDE80018-ENG133494-Analysis 18-p_tasterSchaltschwelle_drei,No Response From Subnet Component,30
IDE80018-ENG133492-Analysis 18-p_tasterSchaltschwelle_eins,No Response From Subnet Component,30
IDE80018-ENG133496-Analysis 18-p_tasterSchaltschwelle_fuenf,No Response From Subnet Component,30
IDE80018-ENG133495-Analysis 18-p_tasterSchaltschwelle_vier,No Response From Subnet Component,30
IDE80018-ENG133493-Analysis 18-p_tasterSchaltschwelle_zwei,No Response From Subnet Component,30
IDE80018-ENG133458-Analysis 18-s_Beruhigungszeit_Befuellen,No Response From Subnet Component,30
IDE80018-ENG133460-Analysis 18-s_Beruhigungszeit_Druckmessung,No Response From Subnet Component,30
IDE80018-ENG133459-Analysis 18-s_Beruhigungszeit_Entlueften,No Response From Subnet Component,30
IDE80018-ENG133469-Analysis 18-s_Faktor_Druck_Entlueftung_Seitenhalt,No Response From Subnet Component,30
IDE80018-ENG133464-Analysis 18-s_IntervallUmgebungsbedingungen,No Response From Subnet Component,30
IDE80018-ENG133465-Analysis 18-s_MaxIntervall,No Response From Subnet Component,30
IDE80018-ENG133461-Analysis 18-s_Messdauer_Initialisierung,No Response From Subnet Component,30
IDE80018-ENG133462-Analysis 18-s_Messdauer_Kurzzeitmessung,No Response From Subnet Component,30
IDE80018-ENG133463-Analysis 18-s_Messdauer_Langzeitmessung,No Response From Subnet Component,30
IDE80018-ENG133468-Analysis 18-s_Sitzvariante,No Response From Subnet Component,30
IDE80018-ENG133467-Analysis 18-s_Timeout_Befuell_Linearbereich,No Response From Subnet Component,30
IDE80018-ENG133466-Analysis 18-s_Timeout_Befuell_Startbereich,No Response From Subnet Component,30
IDE80018-ENG133532-Analysis 18-s_Uebernahmedruck_PUe_u,No Response From Subnet Component,30
IDE80018-ENG133533-Analysis 18-s_UebernahmedruckP_u,No Response From Subnet Component,30
MAS01490-ENG142027-Energy management-Energiemanagement Abschaltung,active ,5
MAS01490-ENG116830-Energy management-Energy_Management_Adaptation,Energy management active ,5
MAS01490-ENG142256-Energy management-Hochvoltfahrzeug,not installed ,5
MAS01490-ENG141950-Energy management-Hybrid vehicle,Yes ,5
MAS01490-ENG133400-Energy management-Praediktives_Energiemanagement,not active ,5
MAS01490-ENG141978-Energy management-Recuperation,active ,5
MAS01490-ENG142037-Energy management-Zweitbatterie,not installed ,5
MAS05055-lower turn position,31.494474 °,2
MAS05056-upper turn position,170.494336 °,2
MAS08228-ENG133434-Light sensor-Daemmerungsgrenze: Hysterese_obergrenze,1200 lx,24
MAS08228-ENG133435-Light sensor-Daemmerungsgrenze_Hysterese_untergrenze,2200 lx,24
MAS08228-ENG133444-Light sensor-ECE_Lichteinschaltschwelle,0 lx,24
MAS08228-ENG133433-Light sensor-Einschaltgrenze_CHO_LHO,600 lx,24
MAS08228-ENG133437-Light sensor-Helligkeitsgrenze_Licht__einschalten,1200 lx,24
MAS08228-ENG133438-Light sensor-Helligkeitsgrenze_Licht_ausschalten,2200 lx,24
MAS08228-ENG133445-Light sensor-Helligkeitsgrenze_Licht_ausschalten_red,00 00 ,24
MAS08228-ENG133436-Light sensor-Helligkeitsgrenze_sehr_hell,2000 lx,24
MAS08228-ENG142230-Light sensor-HMI_Exterior_light_on_highway,not active ,24
MAS08228-ENG142231-Light sensor-HMI_Exterior_light_on_rain,not active ,24
MAS08228-ENG142232-Light sensor-HMI_exterior_light_sensitivity,frueh ,24
MAS08228-ENG142229-Light sensor-HMI_Wiper_Comfort_Rain_Sensor_OFF,not active ,24
MAS08228-ENG126628-Light sensor-LS_Error_Ausgabe,not active ,24
MAS08228-ENG133442-Light sensor-Maximale_Ausgangsspannung,0 mV,24
MAS08228-ENG133440-Light sensor-Maximale_Beleuchtungsstaerke,0 lx,24
MAS08228-ENG133441-Light sensor-Minimale_Ausgangsspannung,0 mV,24
MAS08228-ENG133439-Light sensor-Minimale_Beleuchtungsstaerke,0 lx,24
MAS08228-ENG133443-Light sensor-Tunnel_einschalt_verzoegerung,02 ,24
ENG153709-ENG154696-Aktivierung_Entwicklungsdiagnose-log_dtc_status,not active ,9
ENG153709-ENG154697-Aktivierung_Entwicklungsdiagnose-log-dtc_DFCC,00 00 00 ,9
ENG153709-ENG154714-Aktivierung_Entwicklungsdiagnose-Reaktion_LOG-DTC,First_dtc ,9
ENG141683-ENG116672-Allwetterlicht_Spoiler-Spoiler Einfahrunterdrueckung nach manuellem Ausfahren,active ,4
ENG141683-ENG116671-Allwetterlicht_Spoiler-Spoiler Komfortsenken des Spoiler ueber Schliesszylinder FT,active ,4
