;SW:5NA-035-020-D   HW:5NA-035-020 ---  Information Electr.
;Component:MU-H-ND-EU    H54 1367, Coding:02738001FF0000004111010100880A231F0105D4012005009E
IDE02476-ENG117372-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_7_Test_Frequency,19000 Hz,49
IDE02476-ENG117373-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_7_Test_Volume,22 ,49
IDE02476-ENG117374-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_8_Test_Frequency,19000 Hz,49
IDE02476-ENG117375-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_8_Test_Volume,22 ,49
IDE02476-ENG117376-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_9_Test_Frequency,19000 Hz,49
IDE02476-ENG117377-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_9_Test_Volume,22 ,49
IDE02502-Confirmation of installation change,2F 4D ,2
IDE02506-MAS03229-Copy multimedia data-Data carrier,On ,1
IDE02506-MAS03230-Copy multimedia data-Optical drive,On ,1
IDE02607-Wheel pulse,0 ,2
IDE02699-Number 1 for roadside assistance,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF ,23
IDE02701-Number 1 (roaming) for roadside assistance,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF ,23
IDE03471-ENG117847-Vehicle configuration-advanced_range_display,OFF ,30
IDE03471-ENG249824-Vehicle configuration-AliBox,OFF ,30
IDE03471-ENG142146-Vehicle configuration-allow_message_editing,On ,30
IDE03471-ENG130249-Vehicle configuration-Apple_DIO,On ,30
IDE03471-ENG185764-Vehicle configuration-Apple_DIO_Wireless,OFF ,30
IDE03471-ENG152525-Vehicle configuration-Baidu_Car_Life,OFF ,30
IDE03471-ENG152559-Vehicle configuration-Baidu_Car_Life_ios,OFF ,30
IDE03471-ENG185765-Vehicle configuration-Baidu_Car_Life_ios_Wireless,OFF ,30
IDE03471-ENG185766-Vehicle configuration-Baidu_Car_Life_Wireless,OFF ,30
IDE03471-ENG152560-Vehicle configuration-block_hmi_function_p_epb,locked ,30
IDE03471-ENG142151-Vehicle configuration-conditioning_variant,0 ,30
IDE03471-ENG263540-Vehicle configuration-correction_e_mileage,0 ,30
IDE03471-ENG125043-Vehicle configuration-Dtmf_without_active_call,On ,30
IDE03471-ENG142145-Vehicle configuration-esim_data_only_sms_support,OFF ,30
IDE03471-ENG185778-Vehicle configuration-FoD,SWaP ,30
IDE03471-ENG130248-Vehicle configuration-Google_GAL,On ,30
IDE03471-ENG185779-Vehicle configuration-Google_GAL_Wireless,OFF ,30
IDE03471-ENG117850-Vehicle configuration-gracenote_local_coverarts,On ,30
IDE03471-ENG117851-Vehicle configuration-gracenote_local_other,On ,30
IDE03471-ENG117848-Vehicle configuration-gracenote_online_coverarts,On ,30
IDE03471-ENG117849-Vehicle configuration-gracenote_online_other,On ,30
IDE03471-ENG152533-Vehicle configuration-Hybrid_Radio_additional_online_data,not activated ,30
IDE03471-ENG152534-Vehicle configuration-Hybrid_Radio_Range_Extender,Deactivated ,30
IDE03471-ENG261211-Vehicle configuration-internet_over_WLAN_default_setting,OFF ,30
IDE03471-ENG125049-Vehicle configuration-Joker_button_1,not installed ,30
IDE03471-ENG125050-Vehicle configuration-Joker_button_2,not installed ,30
IDE03471-ENG127492-Vehicle configuration-LGI,OFF ,30
IDE03471-ENG130246-Vehicle configuration-LTE_modul,Deactivated ,30
IDE03471-ENG142142-Vehicle configuration-map_email_support,OFF ,30
IDE03471-ENG142143-Vehicle configuration-map_instant_messaging_support,OFF ,30
IDE03471-ENG142141-Vehicle configuration-map_sms_support,On ,30
IDE03471-ENG142152-Vehicle configuration-Map_Style,1 ,30
IDE03471-ENG152537-Vehicle configuration-media_control,not activated ,30
IDE03471-ENG138662-Vehicle configuration-Mirror_link,On ,30
IDE03471-ENG142148-Vehicle configuration-MirrorLink_Country_Code,MIB_EU ,30
IDE03471-ENG142150-Vehicle configuration-MirrorLink_RGB_Preference,RGB888 ,30
IDE03471-ENG117843-Vehicle configuration-my_audi,OFF ,30
IDE03471-ENG117845-Vehicle configuration-online_dictation,OFF ,30
IDE03471-ENG127495-Vehicle configuration-online_media,OFF ,30
IDE03471-ENG117840-Vehicle configuration-online_navigation,OFF ,30
IDE03471-ENG117837-Vehicle configuration-online_POI,OFF ,30
IDE03471-ENG117838-Vehicle configuration-online_POI_voice,OFF ,30
IDE03471-ENG117839-Vehicle configuration-online_portal_browser_services,OFF ,30
IDE03471-ENG152553-Vehicle configuration-online_radio,Deactivated ,30
IDE03471-ENG117841-Vehicle configuration-online_street_view,OFF ,30
IDE03471-ENG125048-Vehicle configuration-OPS_display_in_dash_board_display_unit,OFF ,30
IDE03471-ENG167521-Vehicle configuration-perso_v_threshold,00 ,30
IDE03471-ENG167522-Vehicle configuration-perso_v_threshold_hysteresis,00 ,30
IDE03471-ENG152554-Vehicle configuration-Phone_HMI_Privacy,0 ,30
IDE03471-ENG125046-Vehicle configuration-Phone_module_operation_mode,only data service act. ,30
IDE03471-ENG117844-Vehicle configuration-picture_navi,On ,30
IDE03471-ENG167523-Vehicle configuration-Pilot_Parking,not activated ,30
IDE03471-ENG167525-Vehicle configuration-Popup_if_GPS_services_in_use,not activated ,30
IDE03471-ENG152555-Vehicle configuration-Privacy_WithPINRequest,0 ,30
IDE03471-ENG127496-Vehicle configuration-ProbeCar_lgi,OFF ,30
IDE03471-ENG137646-Vehicle configuration-ProbeCar_vzo,OFF ,30
IDE03471-ENG125047-Vehicle configuration-PSD_Protocol_Version,PSD_1.5 ,30
IDE03471-ENG117846-Vehicle configuration-remote_HMI,OFF ,30
IDE03471-ENG138661-Vehicle configuration-RSE_software_component,activated ,30
IDE03471-ENG245031-Vehicle configuration-rvc_low_black_screen_trunk_open,not activated ,30
IDE03471-ENG244966-Vehicle configuration-rvc_low_black_screen_velocity_threshold,not activated ,30
IDE03471-ENG245015-Vehicle configuration-rvc_low_failsafe,not activated ,30
IDE03471-ENG126143-Vehicle configuration-RVC_video_input,FBAS ,30
IDE03471-ENG152556-Vehicle configuration-scon_telephony,not activated ,30
IDE03471-ENG142081-Vehicle configuration-sd_slot_deactivation,no restriction ,30
IDE03471-ENG138660-Vehicle configuration-SDS_Region_Flag,REGION_EU ,30
IDE03471-ENG152557-Vehicle configuration-show_volte_hmi_switch,not activated ,30
IDE03471-ENG125045-Vehicle configuration-Sim_card_mode_switch,present ,30
IDE03471-ENG142144-Vehicle configuration-sim_data_only_sms_support,On ,30
IDE03471-ENG138663-Vehicle configuration-Smartphone_interface_for_rhmi,activated ,30
IDE03471-ENG126993-Vehicle configuration-Station_Logo_DB_Mode,1 ,30
IDE03471-ENG125044-Vehicle configuration-Support_for_response_and_hold,OFF ,30
IDE03471-ENG125042-Vehicle configuration-Support_of_threeway_calling,OFF ,30
IDE03471-ENG130247-Vehicle configuration-Support_second_phone,On ,30
IDE03471-ENG167531-Vehicle configuration-Tencent_myCar_canceling_share_location,OFF ,30
IDE03471-ENG126994-Vehicle configuration-TPEG_availability,OFF ,30
IDE03471-ENG152571-Vehicle configuration-unblock_functions_while_piloted_driving,locked ,30
IDE03471-ENG137647-Vehicle configuration-UOTA,OFF ,30
IDE03471-ENG167532-Vehicle configuration-UOTA_2,OFF ,30
IDE03471-ENG117852-Vehicle configuration-UPnP,On ,30
IDE03471-ENG142149-Vehicle configuration-vehicle_leaving_sound,not activated ,30
IDE03471-ENG142147-Vehicle configuration-vehicle_readiness_sound,not activated ,30
IDE03471-ENG152558-Vehicle configuration-voice_over_lte,not activated ,30
IDE03471-ENG117836-Vehicle configuration-VZAPro,OFF ,30
IDE03471-ENG127494-Vehicle configuration-VZO,OFF ,30
IDE03471-ENG137648-Vehicle configuration-WiFi_Client_HMI,On ,30
IDE03471-ENG117842-Vehicle configuration-WIFI_Hotspot,On ,30
IDE03471-ENG152572-Vehicle configuration-wlan_5ghz_switch,not activated ,30
IDE03902-Automatic ring break diagnostic,No automatic start ,1
IDE04295-Bluetooth: Preferred connection profile for phone book data,PBAP ,1
IDE04298-MAS01779-Vehicle dimensions-Length,0 mm,6
IDE04298-MAS01780-Vehicle dimensions-Width,0 mm,6
IDE04298-MAS02230-Vehicle dimensions-Height,0 mm,6
IDE04331-Selection of release codes for a SWaP function,FF FF FF FF ,4
IDE04484-ENG117426-Regional codes-Parameter_Set_BlueRay_System_Region_Code,2 ,2
IDE04484-ENG117425-Regional codes-Parameter_Set_DVD_Region_Code,2 ,2
IDE04521-Sporadic ring break detection,optical ,1
IDE04522-Awakening ability on optical databus,OFF ,1
IDE04550-Bluetooth: Sniff mode,OFF ,1
IDE05111-Fee-based traffic information (TMC),32768 ,2
IDE05113-Infotainment Recorder,activated ,1
IDE06425-Dynamometer mode: functional-,not activated ,1
IDE06425-ENG98891-Dynamometer mode: functional-Reserved,0 ,1
IDE06697-Audio management mute function,Muting of audio sources ,1
IDE07399-ENG142045-Engine type-Engine_type_adaption_1,Petrol ,1
IDE07399-ENG142046-Engine type-Engine_type_adaption_2,Petrol ,1
IDE08814-IDE04033-Navigation receiver GNSS configuration-Compass,On ,1
IDE08814-MAS01570-Navigation receiver GNSS configuration-Default,On ,1
IDE08814-MAS02614-Navigation receiver GNSS configuration-GPS,On ,1
IDE08814-MAS07828-Navigation receiver GNSS configuration-Galileo,On ,1
IDE08814-MAS07829-Navigation receiver GNSS configuration-Glonass,On ,1
IDE08814-ENG142047-Navigation receiver GNSS configuration-external_gps_1,OFF ,1
IDE08814-ENG142048-Navigation receiver GNSS configuration-external_gps_2,OFF ,1
IDE10082-MAS09813-Telephone functions configuration-Entering Access Point Name,On ,1
IDE10082-MAS09814-Telephone functions configuration-Call Center Function,On ,1
IDE10082-MAS13846-Telephone functions configuration-Internet access via WiFi,Available ,1
IDE10082-MAS13847-Telephone functions configuration-Call center function on MIB: roadside assistance call,On ,1
IDE10082-MAS13848-Telephone functions configuration-Call center function on MIB: POI call,On ,1
IDE10082-MAS16726-Telephone functions configuration-Call center function on MIB: POI call regions,OFF ,1
IDE10221-MAS00839-Audio Management Input Gain Generation 2-TV Tuner,-128 ,40
IDE10221-MAS00846-Audio Management Input Gain Generation 2-Satellite radio,5 ,40
IDE10221-MAS01984-Audio Management Input Gain Generation 2-Radio (FM),-128 ,40
IDE10221-MAS01985-Audio Management Input Gain Generation 2-Radio (AM),-128 ,40
IDE10221-MAS01986-Audio Management Input Gain Generation 2-Digital radio (DAB),-128 ,40
IDE10221-ENG125854-Audio Management Input Gain Generation 2-Exbox_DMB,-128 ,40
IDE10221-ENG117430-Audio Management Input Gain Generation 2-HFP,-128 ,40
IDE10221-ENG125846-Audio Management Input Gain Generation 2-Media_Airplay,-128 ,40
IDE10221-ENG125837-Audio Management Input Gain Generation 2-Media_AUX_Adapter,-128 ,40
IDE10221-ENG125836-Audio Management Input Gain Generation 2-Media_AUXIN,-128 ,40
IDE10221-ENG125843-Audio Management Input Gain Generation 2-Media_Bluray,-128 ,40
IDE10221-ENG125841-Audio Management Input Gain Generation 2-Media_BTDevice,-128 ,40
IDE10221-ENG125838-Audio Management Input Gain Generation 2-Media_CDA,-128 ,40
IDE10221-ENG125848-Audio Management Input Gain Generation 2-Media_Cloud,-128 ,40
IDE10221-ENG125839-Audio Management Input Gain Generation 2-Media_DVD,-128 ,40
IDE10221-ENG125844-Audio Management Input Gain Generation 2-Media_HDMI,-128 ,40
IDE10221-ENG125840-Audio Management Input Gain Generation 2-Media_MFP,-128 ,40
IDE10221-ENG125847-Audio Management Input Gain Generation 2-Media_UPNP,-128 ,40
IDE10221-ENG125855-Audio Management Input Gain Generation 2-Mirrorlink,-128 ,40
IDE10221-ENG125859-Audio Management Input Gain Generation 2-Phone_Ringer_MFP,-128 ,40
IDE10221-ENG125860-Audio Management Input Gain Generation 2-Phone_Ringer_OB,-3 ,40
IDE10221-ENG125858-Audio Management Input Gain Generation 2-Phone_Voice,-128 ,40
IDE10221-ENG125842-Audio Management Input Gain Generation 2-TA_Tuner_FM,-128 ,40
IDE10221-ENG125850-Audio Management Input Gain Generation 2-Tone_Beep,-128 ,40
IDE10221-ENG125853-Audio Management Input Gain Generation 2-Tone_Messaging,-128 ,40
IDE10221-ENG125852-Audio Management Input Gain Generation 2-Tone_Touchscreen,6 ,40
IDE10221-ENG125851-Audio Management Input Gain Generation 2-Tone_Warning,-128 ,40
IDE10221-ENG125856-Audio Management Input Gain Generation 2-TTS_Nav,-128 ,40
IDE10221-ENG125857-Audio Management Input Gain Generation 2-TTS_SDS,-128 ,40
IDE10221-ENG125845-Audio Management Input Gain Generation 2-Tuner_Online,-128 ,40
IDE10221-ENG125849-Audio Management Input Gain Generation 2-Tuner_Personal,-128 ,40
IDE10221-ENG125835-Audio Management Input Gain Generation 2-Tuner_TI,-128 ,40
IDE10221-ENG125861-Audio Management Input Gain Generation 2-TV_AV_IN,-128 ,40
IDE10480-MAS10741-Interface for external media: activation-Connection 1,activated ,4
IDE10480-MAS10742-Interface for external media: activation-Connection 2,activated ,4
IDE10480-MAS10743-Interface for external media: activation-Connection 3,not activated ,4
IDE10480-MAS10744-Interface for external media: activation-Connection 4,not activated ,4
IDE10604-Menu entries for mobile online services,activated ,1
IDE11104-ENG127502-FM tuner: mono/stereo setting-l_hf_stereo_lower_threshold,37 dBµV,3
IDE11104-ENG127503-FM tuner: mono/stereo setting-l_nf_max_stereo_channel_separation,32 dB,3
IDE11104-ENG127504-FM tuner: mono/stereo setting-t_hysteresis_mono_to_stereo,15.0 s,3
IDE11105-Brand-specific display of connect application, ,256
IDE11122-Country identification: country of sale HMI,NL ,2
IDE11153-ENG152487-Surroundings display: virtual camera positions-focallength,4294967295 ,330
IDE11153-ENG152487-Surroundings display: virtual camera positions-focallength,4294967295 ,330
IDE11153-ENG152487-Surroundings display: virtual camera positions-focallength,4294967295 ,330
IDE11153-ENG152487-Surroundings display: virtual camera positions-focallength,4294967295 ,330
IDE11153-ENG152487-Surroundings display: virtual camera positions-focallength,4294967295 ,330
IDE11153-ENG152487-Surroundings display: virtual camera positions-focallength,4294967295 ,330
IDE11153-ENG152487-Surroundings display: virtual camera positions-focallength,4294967295 ,330
IDE11153-ENG152487-Surroundings display: virtual camera positions-focallength,4294967295 ,330
IDE11153-ENG152487-Surroundings display: virtual camera positions-focallength,4294967295 ,330
IDE11153-ENG152487-Surroundings display: virtual camera positions-focallength,4294967295 ,330
IDE11153-ENG152487-Surroundings display: virtual camera positions-focallength,4294967295 ,330
IDE11153-ENG152487-Surroundings display: virtual camera positions-focallength,4294967295 ,330
IDE11153-ENG152487-Surroundings display: virtual camera positions-focallength,4294967295 ,330
IDE11153-ENG152487-Surroundings display: virtual camera positions-focallength,4294967295 ,330
IDE11153-ENG152487-Surroundings display: virtual camera positions-focallength,4294967295 ,330
IDE11153-ENG152457-Surroundings display: virtual camera positions-Pitchangle,65535 ,330
IDE11153-ENG152457-Surroundings display: virtual camera positions-Pitchangle,65535 ,330
IDE11153-ENG152457-Surroundings display: virtual camera positions-Pitchangle,65535 ,330
IDE11153-ENG152457-Surroundings display: virtual camera positions-Pitchangle,65535 ,330
IDE11153-ENG152457-Surroundings display: virtual camera positions-Pitchangle,65535 ,330
IDE11153-ENG152457-Surroundings display: virtual camera positions-Pitchangle,65535 ,330
IDE11153-ENG152457-Surroundings display: virtual camera positions-Pitchangle,65535 ,330
IDE11153-ENG152457-Surroundings display: virtual camera positions-Pitchangle,65535 ,330
IDE11153-ENG152457-Surroundings display: virtual camera positions-Pitchangle,65535 ,330
IDE11153-ENG152457-Surroundings display: virtual camera positions-Pitchangle,65535 ,330
IDE11153-ENG152457-Surroundings display: virtual camera positions-Pitchangle,65535 ,330
IDE11153-ENG152457-Surroundings display: virtual camera positions-Pitchangle,65535 ,330
IDE11153-ENG152457-Surroundings display: virtual camera positions-Pitchangle,65535 ,330
IDE11153-ENG152457-Surroundings display: virtual camera positions-Pitchangle,65535 ,330
IDE11153-ENG152457-Surroundings display: virtual camera positions-Pitchangle,65535 ,330
IDE11153-ENG152445-Surroundings display: virtual camera positions-Rollangle,65535 ,330
IDE11153-ENG152445-Surroundings display: virtual camera positions-Rollangle,65535 ,330
IDE11153-ENG152445-Surroundings display: virtual camera positions-Rollangle,65535 ,330
IDE11153-ENG152445-Surroundings display: virtual camera positions-Rollangle,65535 ,330
IDE11153-ENG152445-Surroundings display: virtual camera positions-Rollangle,65535 ,330
IDE11153-ENG152445-Surroundings display: virtual camera positions-Rollangle,65535 ,330
IDE11153-ENG152445-Surroundings display: virtual camera positions-Rollangle,65535 ,330
IDE11153-ENG152445-Surroundings display: virtual camera positions-Rollangle,65535 ,330
IDE11153-ENG152445-Surroundings display: virtual camera positions-Rollangle,65535 ,330
IDE11153-ENG152445-Surroundings display: virtual camera positions-Rollangle,65535 ,330
IDE11153-ENG152445-Surroundings display: virtual camera positions-Rollangle,65535 ,330
IDE11153-ENG152445-Surroundings display: virtual camera positions-Rollangle,65535 ,330
IDE11153-ENG152445-Surroundings display: virtual camera positions-Rollangle,65535 ,330
IDE11153-ENG152445-Surroundings display: virtual camera positions-Rollangle,65535 ,330
IDE11153-ENG152445-Surroundings display: virtual camera positions-Rollangle,65535 ,330
IDE11153-ENG147432-Surroundings display: virtual camera positions-xpos,32767 ,330
IDE11153-ENG147432-Surroundings display: virtual camera positions-xpos,32767 ,330
IDE11153-ENG147432-Surroundings display: virtual camera positions-xpos,32767 ,330
IDE11153-ENG147432-Surroundings display: virtual camera positions-xpos,32767 ,330
IDE11153-ENG147432-Surroundings display: virtual camera positions-xpos,32767 ,330
IDE11153-ENG147432-Surroundings display: virtual camera positions-xpos,32767 ,330
IDE11153-ENG147432-Surroundings display: virtual camera positions-xpos,32767 ,330
IDE11153-ENG147432-Surroundings display: virtual camera positions-xpos,32767 ,330
IDE11153-ENG147432-Surroundings display: virtual camera positions-xpos,32767 ,330
IDE11153-ENG147432-Surroundings display: virtual camera positions-xpos,32767 ,330
IDE11153-ENG147432-Surroundings display: virtual camera positions-xpos,32767 ,330
IDE11153-ENG147432-Surroundings display: virtual camera positions-xpos,32767 ,330
IDE11153-ENG147432-Surroundings display: virtual camera positions-xpos,32767 ,330
IDE11153-ENG147432-Surroundings display: virtual camera positions-xpos,32767 ,330
IDE11153-ENG147432-Surroundings display: virtual camera positions-xpos,32767 ,330
IDE11153-ENG152451-Surroundings display: virtual camera positions-Yawangle,65535 ,330
IDE11153-ENG152451-Surroundings display: virtual camera positions-Yawangle,65535 ,330
IDE11153-ENG152451-Surroundings display: virtual camera positions-Yawangle,65535 ,330
IDE11153-ENG152451-Surroundings display: virtual camera positions-Yawangle,65535 ,330
IDE11153-ENG152451-Surroundings display: virtual camera positions-Yawangle,65535 ,330
IDE11153-ENG152451-Surroundings display: virtual camera positions-Yawangle,65535 ,330
IDE11153-ENG152451-Surroundings display: virtual camera positions-Yawangle,65535 ,330
IDE11153-ENG152451-Surroundings display: virtual camera positions-Yawangle,65535 ,330
IDE11153-ENG152451-Surroundings display: virtual camera positions-Yawangle,65535 ,330
IDE11153-ENG152451-Surroundings display: virtual camera positions-Yawangle,65535 ,330
IDE11153-ENG152451-Surroundings display: virtual camera positions-Yawangle,65535 ,330
IDE11153-ENG152451-Surroundings display: virtual camera positions-Yawangle,65535 ,330
IDE11153-ENG152451-Surroundings display: virtual camera positions-Yawangle,65535 ,330
IDE11153-ENG152451-Surroundings display: virtual camera positions-Yawangle,65535 ,330
IDE11153-ENG152451-Surroundings display: virtual camera positions-Yawangle,65535 ,330
IDE11153-ENG147433-Surroundings display: virtual camera positions-ypos,32767 ,330
IDE11153-ENG147433-Surroundings display: virtual camera positions-ypos,32767 ,330
IDE11153-ENG147433-Surroundings display: virtual camera positions-ypos,32767 ,330
IDE11153-ENG147433-Surroundings display: virtual camera positions-ypos,32767 ,330
IDE11153-ENG147433-Surroundings display: virtual camera positions-ypos,32767 ,330
IDE11153-ENG147433-Surroundings display: virtual camera positions-ypos,32767 ,330
IDE11153-ENG147433-Surroundings display: virtual camera positions-ypos,32767 ,330
IDE11153-ENG147433-Surroundings display: virtual camera positions-ypos,32767 ,330
IDE11153-ENG147433-Surroundings display: virtual camera positions-ypos,32767 ,330
IDE11153-ENG147433-Surroundings display: virtual camera positions-ypos,32767 ,330
IDE11153-ENG147433-Surroundings display: virtual camera positions-ypos,32767 ,330
IDE11153-ENG147433-Surroundings display: virtual camera positions-ypos,32767 ,330
IDE11153-ENG147433-Surroundings display: virtual camera positions-ypos,32767 ,330
IDE11153-ENG147433-Surroundings display: virtual camera positions-ypos,32767 ,330
IDE11153-ENG147433-Surroundings display: virtual camera positions-ypos,32767 ,330
IDE11153-ENG147434-Surroundings display: virtual camera positions-zpos,32767 ,330
IDE11153-ENG147434-Surroundings display: virtual camera positions-zpos,32767 ,330
IDE11153-ENG147434-Surroundings display: virtual camera positions-zpos,32767 ,330
IDE11153-ENG147434-Surroundings display: virtual camera positions-zpos,32767 ,330
IDE11153-ENG147434-Surroundings display: virtual camera positions-zpos,32767 ,330
IDE11153-ENG147434-Surroundings display: virtual camera positions-zpos,32767 ,330
IDE11153-ENG147434-Surroundings display: virtual camera positions-zpos,32767 ,330
IDE11153-ENG147434-Surroundings display: virtual camera positions-zpos,32767 ,330
IDE11153-ENG147434-Surroundings display: virtual camera positions-zpos,32767 ,330
IDE11153-ENG147434-Surroundings display: virtual camera positions-zpos,32767 ,330
IDE11153-ENG147434-Surroundings display: virtual camera positions-zpos,32767 ,330
IDE11153-ENG147434-Surroundings display: virtual camera positions-zpos,32767 ,330
IDE11153-ENG147434-Surroundings display: virtual camera positions-zpos,32767 ,330
IDE11153-ENG147434-Surroundings display: virtual camera positions-zpos,32767 ,330
IDE11153-ENG147434-Surroundings display: virtual camera positions-zpos,32767 ,330
IDE11502-ENG127601-Locked menu contents-FB_CAR_0,non_blocked ,21
IDE11502-ENG127602-Locked menu contents-FB_CAR_1,non_blocked ,21
