;SW:5Q0-959-435-C   HW:5Q0-959-435 ---  Acc/Start Auth.
;Component:VWKESSYMQB    021 0803, Coding:032C0C
ENG123036-ENG120038-DeveloperCoding: Search lights-ZAT detecting open load,not activated ,1
ENG123036-ENG154826-DeveloperCoding: Search lights-ZAT_illumination_concept_mybeat_clamp58xt,not activated ,1
ENG123036-ENG154827-DeveloperCoding: Search lights-ZAT_illumination_modus_mybeat_clamp58xt,not activated ,1
ENG105810-ENG120039-DeveloperCoding: Sonstiges-Backdoor TSG,not installed ,1
ENG105810-ENG103075-DeveloperCoding: Sonstiges-Battery manager mounted,activated ,1
ENG105810-ENG102728-DeveloperCoding: Sonstiges-Diagnostic: service 86 - response on event,not activated ,1
ENG105810-ENG98656-DeveloperCoding: Sonstiges-internal,not activated ,1
ENG105810-ENG102591-DeveloperCoding: Sonstiges-Response extension for scan procedure,not activated ,1
ENG105810-ENG99430-DeveloperCoding: Sonstiges-Scan Procedure: Timeoutcontrol active,activated ,1
ENG105810-ENG104010-DeveloperCoding: Sonstiges-Use default antenna data,not activated ,1
ENG123037-ENG98487-DeveloperCoding: vehicle environment-Convertible,not activated ,1
ENG123037-ENG100924-DeveloperCoding: vehicle environment-Pre Catch for Trunk,installed ,1
ENG123037-ENG103200-DeveloperCoding: vehicle environment-Steering wheel,Left hand steering ,1
ENG105825-Diagnostic: wait time after power on,3000 ms,1
ENG105898-Doorknob contact sensor disconnecting time,5400 min,1
ENG107050-Interior scan: deceleration after comfort closing,3200 ms,1
ENG107051-Interior scan: max. engine speed for standing engine,10 km/h,1
ENG107052-Interior scan: opening threshold sliding roof,1 %,1
ENG107053-Interior scan: opening threshold window lifter,5.0 %,1
ENG107054-Interior scan: Speed - threshold,20 km/h,1
ENG153724-Interior_scans_clamp15_break_at_active_message,5000 ms,1
ENG153725-Interior_scans_clamp15_retry_at_active_message,5 ,1
ENG98656-internal,0 B,1
ENG107211-Key Minder: delay reunlocking tailgate,500 ms,1
ENG107212-Key Minder: p_keyless_eventsearch_holding_time,10 s,1
ENG107213-Key Minder: p_keyless_eventsearch_retries,2 ,1
ENG107363-LED dimming curve first point 20 percent dimming,40.0 %,1
ENG153886-lf_shutdown_timeout_2nd_operation,5 s,1
ENG107592-MCTX Pause,1 B,1
ENG107593-MCTX pause for Go / Key Minder,20 ms,1
ENG107594-MCTX pause for Go authentification,14 B,1
ENG107595-MCTX settling phase,7 B,1
ENG108165-Passive Entry Exit: control by pulling the door handle during active DSL (timeout),2.00 s,1
ENG108166-Passive Entry Exit: entry request e-sliding door active time,500 ms,1
ENG108167-Passive Entry Exit: minimum activity time locking sensor,140 ms,1
ENG108168-Passive Entry Exit: PARA_T_TIMOUT_PROXIMITY_ENTRY,210 ms,1
ENG108169-Passive Entry Exit: T_ACT_OP_2,5000 ms,1
ENG108297-Proximity Sensor: Comfort Exit-Enlargement,200 ms,1
ENG108298-Proximity Sensor: duration of proximity Signal,10 s,1
ENG108299-Proximity Sensor: lower limit Impuls,2000 µs,1
ENG108300-Proximity Sensor: lower limit proximity-Impuls,12200 µs,1
ENG108301-Proximity Sensor: max Vehiclespeed for a standing vehicle,10.0 km/h,1
ENG108302-Proximity Sensor: max. Impulslength,75 ms,1
ENG108303-Proximity Sensor: max. Impulslength of proximity-Impuls,20400 µs,1
ENG108304-Proximity Sensor: max. intermission-length Diagnostic,14 ms,1
ENG108305-Proximity Sensor: max. length of Diagnosticimpuls,71 ms,1
ENG108306-Proximity Sensor: max. length of Entryimpuls,10400 µs,1
ENG108307-Proximity Sensor: max. length of Exitimpuls,40400 µs,1
ENG108308-Proximity sensor: max. length of signal hall sensor,100 s,1
ENG108309-Proximity Sensor: max. signal-length,120 s,1
ENG108311-Proximity Sensor: min Vehiclespeed for a driving vehicle,20.0 km/h,1
ENG108312-Proximity Sensor: min. enginespeed for a running engine,300 /min,1
ENG108313-Proximity Sensor: min. length of Diagnosticimpuls,42 ms,1
ENG108314-Proximity Sensor: min. length of Entryimpuls,6200 µs,1
ENG108315-Proximity Sensor: min. length of Exitimpuls,24200 µs,1
ENG108317-Proximity Sensor: SP_X2,10 min,1
ENG108318-Proximity Sensor: SP_X3,1 ,1
ENG108319-Proximity Sensor: SP_X4,80 ,1
ENG108320-Proximity Sensor: SP_X5,1 ,1
ENG108321-Proximity Sensor: SP_X6,30 min,1
ENG108322-Proximity Sensor: SP_X7,1 ,1
ENG108323-Proximity Sensor: Time Power On,1960 ms,1
ENG123035-Proximity Sensor: Timervalue for ExitReverseOption,0 ms,1
ENG108325-Proximity sensor: turn-off limit from battery-manager,2 ,1
ENG108326-Proximity Sensor: upper limit intermission-length,10 ms,1
ENG120045-Reduced current for transponder-ID request,0 Step,1
ENG108575-Scan Procedure: current limiting on undervoltage at Go-protocol,5 Step,1
ENG108576-Scan Procedure: cycle convenience coverage limiting,65 ms,1
ENG108577-Scan Procedure: Number of Repeats,1 ,1
ENG108578-Scan Procedure: p_keyless_eventsuche_retries_pause,100 ms,1
ENG108579-Scan Procedure: Timeout Authentification Result,150 ms,1
ENG108580-Scan Procedure: timeout ID-transmitter ready-to-receive after LF-error (Go),190 ms,1
ENG108581-Scan Procedure: timeout ID-transmitter ready-to-receive after LF-error (Kombi),700 ms,1
ENG108582-Scan Procedure: Timeout LF Repetition,100 ms,1
ENG108585-ScanProcedure: Timeout Entry Response,260 ms,1
ENG108586-ScanProcedure: Timeout Response,100 ms,1
ENG109053-Standard dimming value ZAT,80 %,1
ENG102207-Time Sensor Power Off Group 2,3600 min,1
ENG109974-Voltage monitoring: overvoltage Delta,500 mV,1
ENG109975-Voltage monitoring: overvoltage for KESSY ECU,16000 mV,1
ENG109976-Voltage monitoring: overvoltage for Keyless Go,27000 mV,1
ENG109977-Voltage monitoring: overvoltage Jumpstart 2 Delta,0 mV,1
ENG109978-Voltage monitoring: undervoltage Delta,500 mV,1
ENG109979-Voltage monitoring: undervoltage for KESSY ECU,9000 mV,1
ENG109980-Voltage monitoring: undervoltage for Keyless Go,6000 mV,1
ENG109981-Voltage monitoring: undervoltage Jumpstart 1 Delta,0 mV,1
ENG120047-ZAT init value,0 %,1
ENG110364-ZAT nominal voltage,13.0 V,1
ENG110365-ZAT post-carridge during clamp 15 off,10 min,1
ENG153750-ZAT_clamp58xt_signal_factor,0.200 ,1
ENG153751-ZAT_clamp58xt_signal_offset,3.0 ,1
ENG153752-ZAT_first_fall_time_high_low_state,900 ms,1
ENG153753-ZAT_first_rise_time_low_high_state,100 ms,1
ENG153754-ZAT_motor_signal_timer_1,3000 ms,1
ENG153755-ZAT_motor_signal_timer_2,3000 ms,1
ENG153756-ZAT_pwm_offset_1_lower_limit,5 %,1
ENG153757-ZAT_pwm_offset_2_lower_limit,10 %,1
ENG153758-ZAT_pwm_peak1_upper_limit,90 %,1
ENG153759-ZAT_pwm_peak2_upper_limit,100 %,1
ENG153760-ZAT_second_fall_time_high_low_state,2000 ms,1


Elapsed Time: 00:26
