;SW:5Q0-980-556-B   HW:5Q0-980-556-B ---  Back-up Cam.
;Component:RVC Compact   H19 0231, Coding:01330301C600201F000062
ENG119220-ENG119164-grafic_element_setting-setting_22_color_value,FF FF ,128
ENG119220-ENG119162-grafic_element_setting-setting_22_HMI_mode,FF ,128
ENG119220-ENG119163-grafic_element_setting-setting_22_pallet_ID,255 ,128
ENG119220-ENG119167-grafic_element_setting-setting_23_color_value,FF FF ,128
ENG119220-ENG119165-grafic_element_setting-setting_23_HMI_mode,FF ,128
ENG119220-ENG119166-grafic_element_setting-setting_23_pallet_ID,255 ,128
ENG119220-ENG119170-grafic_element_setting-setting_24_color_value,FF FF ,128
ENG119220-ENG119168-grafic_element_setting-setting_24_HMI_mode,FF ,128
ENG119220-ENG119169-grafic_element_setting-setting_24_pallet_ID,255 ,128
ENG119220-ENG119173-grafic_element_setting-setting_25_color_value,FF FF ,128
ENG119220-ENG119171-grafic_element_setting-setting_25_HMI_mode,FF ,128
ENG119220-ENG119172-grafic_element_setting-setting_25_pallet_ID,255 ,128
ENG119220-ENG119176-grafic_element_setting-setting_26_color_value,FF FF ,128
ENG119220-ENG119174-grafic_element_setting-setting_26_HMI_mode,FF ,128
ENG119220-ENG119175-grafic_element_setting-setting_26_pallet_ID,255 ,128
ENG119220-ENG119179-grafic_element_setting-setting_27_color_value,FF FF ,128
ENG119220-ENG119177-grafic_element_setting-setting_27_HMI_mode,FF ,128
ENG119220-ENG119178-grafic_element_setting-setting_27_pallet_ID,255 ,128
ENG119220-ENG119182-grafic_element_setting-setting_28_color_value,FF FF ,128
ENG119220-ENG119180-grafic_element_setting-setting_28_HMI_mode,FF ,128
ENG119220-ENG119181-grafic_element_setting-setting_28_pallet_ID,255 ,128
ENG119220-ENG119185-grafic_element_setting-setting_29_color_value,FF FF ,128
ENG119220-ENG119183-grafic_element_setting-setting_29_HMI_mode,FF ,128
ENG119220-ENG119184-grafic_element_setting-setting_29_pallet_ID,255 ,128
ENG119220-ENG119107-grafic_element_setting-setting_3_color_value,FF FF ,128
ENG119220-ENG119105-grafic_element_setting-setting_3_HMI_mode,FF ,128
ENG119220-ENG119106-grafic_element_setting-setting_3_pallet_ID,255 ,128
ENG119220-ENG119188-grafic_element_setting-setting_30_color_value,FF FF ,128
ENG119220-ENG119186-grafic_element_setting-setting_30_HMI_mode,FF ,128
ENG119220-ENG119187-grafic_element_setting-setting_30_pallet_ID,255 ,128
ENG119220-ENG119191-grafic_element_setting-setting_31_color_value,FF FF ,128
ENG119220-ENG119189-grafic_element_setting-setting_31_HMI_mode,FF ,128
ENG119220-ENG119190-grafic_element_setting-setting_31_pallet_ID,255 ,128
ENG119220-ENG119194-grafic_element_setting-setting_32_color_value,FF FF ,128
ENG119220-ENG119192-grafic_element_setting-setting_32_HMI_mode,FF ,128
ENG119220-ENG119193-grafic_element_setting-setting_32_pallet_ID,255 ,128
ENG119220-ENG119110-grafic_element_setting-setting_4_color_value,FF FF ,128
ENG119220-ENG119108-grafic_element_setting-setting_4_HMI_mode,FF ,128
ENG119220-ENG119109-grafic_element_setting-setting_4_pallet_ID,255 ,128
ENG119220-ENG119113-grafic_element_setting-setting_5_color_value,FF FF ,128
ENG119220-ENG119111-grafic_element_setting-setting_5_HMI_mode,FF ,128
ENG119220-ENG119112-grafic_element_setting-setting_5_pallet_ID,255 ,128
ENG119220-ENG119116-grafic_element_setting-setting_6_color_value,FF FF ,128
ENG119220-ENG119114-grafic_element_setting-setting_6_HMI_mode,FF ,128
ENG119220-ENG119115-grafic_element_setting-setting_6_pallet_ID,255 ,128
ENG119220-ENG119119-grafic_element_setting-setting_7_color_value,FF FF ,128
ENG119220-ENG119117-grafic_element_setting-setting_7_HMI_mode,FF ,128
ENG119220-ENG119118-grafic_element_setting-setting_7_pallet_ID,255 ,128
ENG119220-ENG119122-grafic_element_setting-setting_8_color_value,FF FF ,128
ENG119220-ENG119120-grafic_element_setting-setting_8_HMI_mode,FF ,128
ENG119220-ENG119121-grafic_element_setting-setting_8_pallet_ID,255 ,128
ENG119220-ENG119125-grafic_element_setting-setting_9_color_value,FF FF ,128
ENG119220-ENG119123-grafic_element_setting-setting_9_HMI_mode,FF ,128
ENG119220-ENG119124-grafic_element_setting-setting_9_pallet_ID,255 ,128
ENG119201-image_delay_timer,0.0 s,1
ENG119219-Minimal_time_to_stay_in_bus_sleep_before_ECU_off,20000 ms,2
ENG119214-rv_dark_off,10.00 km/h,2
ENG119213-rv_dark_on,15.00 km/h,2
ENG119203-RV_Last_Mode,90° parking spot ,1
ENG102898-RV_Start_Mode,90° parking spot ,1
ENG119205-Time_to_open_Swinging_Logo,750 ms,2


Elapsed Time: 00:07
